id,name,Team,inj,pos_1,pos_2,pos_3,opp
55416,Aaron Cresswell,West Ham,FALSE,FB,,,
58836,Aaron Lennon,Everton,FALSE,S,,,
56811,Aaron Ramsey,Arsenal,FALSE,MC,,,
61161,Adam Bogdan,Liverpool,FALSE,GK,,,
59901,Adam Federici,Bournemouth,FALSE,GK,,,
57456,Adam Johnson,Sunderland,FALSE,S,,,
56931,Adam Lallana,Liverpool,FALSE,W,,,
55656,Adam Smith,Bournemouth,FALSE,FB,,,
60561,Adnan Januzaj,Manchester United,FALSE,S,,,
56286,Adrian,West Ham,FALSE,GK,,,
61056,Adrian Mariappa,Crystal Palace,FALSE,FB,,,
56496,Alan Hutton,Aston Villa,FALSE,FB,,,
55641,Alberto Moreno,Liverpool,FALSE,FB,,,
55986,Aleksandar Kolarov,Manchester City,FALSE,FB,,,
56856,Aleksandar Mitrovic,Newcastle United,FALSE,S,,,
59496,Alex McCarthy,Crystal Palace,FALSE,GK,,,
56271,Alex Oxlade Chamberlain,Arsenal,FALSE,W,,,
55806,Alexander Tettey,Norwich,FALSE,MC,,,
59631,Alexandre Song,West Ham,FALSE,MC,,,
57261,Alexis Sanchez,Arsenal,FALSE,W,,,
56061,Almen Abdi,Watford,FALSE,W,,,
57741,Ander Herrera,Manchester United,FALSE,S,,,
55371,Andre Ayew,Swansea,FALSE,S,,,
59361,Andre Wisdom,Norwich,FALSE,FB,,,
54396,Andrew Surman,Bournemouth,FALSE,MC,,,
58236,Andy Carroll,West Ham,FALSE,S,,,
56661,Andy King,Leicester,FALSE,MC,,,
59886,Angel Rangel,Swansea,FALSE,FB,,,
57861,Angelo Ogbonna,West Ham,FALSE,DC,,,
57336,Anthony Martial,Manchester United,FALSE,W,,,
59451,Antonio Valencia,Manchester United,FALSE,FB,,,
55176,Arouna Kone,Everton,FALSE,S,,,
57081,Artur Boruc,Bournemouth,FALSE,GK,,,
56586,Ashley Westwood,Aston Villa,FALSE,MC,,,
54816,Ashley Williams,Swansea,FALSE,DC,,,
57351,Ashley Young,Manchester United,FALSE,FB,,,
57816,Asmir Begovic,Chelsea,FALSE,GK,,,
56091,Ayoze Perez,Newcastle United,FALSE,S,,,
60126,Baba Rahman,Chelsea,FALSE,FB,,,
55566,Bacary Sagna,Manchester City,FALSE,FB,,,
55386,Bafetimbi Gomis,Swansea,FALSE,S,,,
58791,Bakary Sako,Crystal Palace,FALSE,W,,,
56106,Bastian Schweinsteiger,Manchester United,FALSE,MC,,,
58266,Ben Davies,Tottenham,FALSE,FB,,,
55191,Ben Watson,Watford,FALSE,MC,,,
55791,Billy Jones,Sunderland,FALSE,FB,,,
55041,Boaz Myhill,West Bromwich Albion,FALSE,GK,,,
56991,Bojan,Stoke,FALSE,S,,,
54426,Brad Guzan,Aston Villa,FALSE,GK,,,
60036,Bradley Johnson,Norwich,FALSE,W,,,
56751,Branislav Ivanovic,Chelsea,FALSE,FB,,,
59376,Brede Hangeland,Crystal Palace,FALSE,DC,,,
56631,Brendan Galloway,Everton,FALSE,FB,,,
60186,Bryan Oviedo,Everton,FALSE,FB,,,
58746,Callum McManaman,West Bromwich Albion,FALSE,W,,,
59241,Callum Wilson,Bournemouth,FALSE,S,,,
59166,Calum Chambers,Arsenal,FALSE,MC,,,
60441,Cameron Borthwick-Jackson,Manchester United,FALSE,FB,,,
54741,Cameron Jerome,Norwich,FALSE,S,,,
56481,Carl Jenkinson,West Ham,FALSE,FB,,,
58041,Carles Gil,Aston Villa,FALSE,W,,,
56616,Carlos S nchez,Aston Villa,FALSE,MC,,,
57276,Cedric Soares,Southampton,FALSE,FB,,,
55296,Cesar Azpilicueta,Chelsea,FALSE,FB,,,
55326,Cesc F…bregas,Chelsea,FALSE,MC,,,
54891,Chancel Mbemba,Newcastle United,FALSE,DC,,,
56886,Charlie Adam,Stoke,FALSE,S,,,
55146,Charlie Daniels,Bournemouth,FALSE,FB,,,
58731,Cheick Tiote,Newcastle United,FALSE,MC,,,
55431,Cheikhou Kouyate,West Ham,FALSE,MC,,,
55926,Chris Brunt,West Bromwich Albion,FALSE,W,,,
55101,Chris Smalling,Manchester United,FALSE,DC,,,
56361,Christian Benteke,Liverpool,FALSE,S,,,
56121,Christian Eriksen,Tottenham,FALSE,S,,,
57426,Christian Fuchs,Leicester,FALSE,FB,,,
58671,Ciaran Clark,Aston Villa,FALSE,DC,,,
56421,Claudio Yacob,West Bromwich Albion,FALSE,MC,,,
58701,Connor Wickham,Crystal Palace,FALSE,S,,,
55776,Costel Pantilimon,Sunderland,FALSE,GK,,,
54531,Craig Cathcart,Watford,FALSE,DC,,,
55056,Craig Dawson,West Bromwich Albion,FALSE,W,,,
56391,Craig Gardner,West Bromwich Albion,FALSE,W,,,
59691,Cuco Martina,Southampton,FALSE,FB,,,
55671,Daley Blind,Manchester United,FALSE,DC,,,
57471,Damien Delaney,Crystal Palace,FALSE,DC,,,
55161,Dan Gosling,Bournemouth,FALSE,MC,,,
55746,Daniel Drinkwater,Leicester,FALSE,MC,,,
59841,Daniel Sturridge,Liverpool,FALSE,S,,,
59301,Danny Graham,Sunderland,FALSE,S,,,
59796,Danny Ings,Liverpool,FALSE,S,,,
58506,Danny Rose,Tottenham,FALSE,W,,,
58071,Danny Simpson,Leicester,FALSE,FB,,,
55071,Darren Fletcher,West Bromwich Albion,FALSE,MC,,,
60261,Darren Randolph,West Ham,FALSE,GK,,,
55461,Daryl Janmaat,Newcastle United,FALSE,FB,,,
57051,David de Gea,Manchester United,FALSE,GK,,,
58131,David Silva,Manchester City,FALSE,S,,,
58956,DeAndre Yedlin,Sunderland,FALSE,FB,,,
59946,Declan Rudd,Norwich,FALSE,GK,,,
57546,Dejan Lovren,Liverpool,FALSE,DC,,,
55686,Dele Alli,Tottenham,FALSE,S,,,
57891,Diafra Sakho,West Ham,FALSE,S,,,
56766,Diego Costa,Chelsea,FALSE,S,,,
58191,Dieumerci Mbokani,Norwich,FALSE,S,,,
57906,Dimitri Payet,West Ham,FALSE,W,,,
59211,Divock Origi,Liverpool,FALSE,S,,,
57966,Duncan Watmore,Sunderland,FALSE,W,,,
